subset,category,fold_id,model,downsample,seed_id,train_size,test_size,rmse,mae,train_time
18O,same,1,featureless,False,0,112892,28224,0.035029892,0.020762982,3.4948439598083496
18O,same,1,featureless,True,1,47710,28224,0.035030086,0.020802408,3.5028440952301025
18O,same,1,featureless,True,2,47710,28224,0.03503109,0.02054046,3.5524678230285645
18O,same,1,featureless,True,3,47710,28224,0.03502985,0.020702086,3.6783864498138423
13C,same,1,featureless,False,0,38168,9542,0.026506701,0.013015166,1.2526919841766355
13C,same,1,linear,False,0,38168,9542,0.021927543,0.008823754,9978.31336569786
18O,same,1,linear,False,0,112892,28224,0.032665174,0.017185263,22465.79487514496
13C,same,1,tree,False,0,38168,9542,0.0219699831448643,0.0090769047735417,801.812310218811
18O,same,1,tree,False,0,112892,28224,0.0330310389461194,0.0176160886952757,1934.703948497772
18O,same,1,tree,True,1,47710,28224,0.0328168560100123,0.0171981676755689,810.0039701461792
18O,same,1,tree,True,2,47710,28224,0.0327908740059689,0.0169532627563643,782.8286597728729
18O,same,1,tree,True,3,47710,28224,0.0329331947882202,0.0170408668331547,803.3428685665131
18O,same,2,featureless,False,0,112893,28223,0.035295937,0.020750266,3.341122627258301
18O,same,2,featureless,True,1,47710,28223,0.03529937,0.020924678,3.45812726020813
18O,same,2,featureless,True,2,47710,28223,0.035294488,0.020605884,3.939481735229492
18O,same,2,featureless,True,3,47710,28223,0.035294753,0.020641174,3.1632847785949707
13C,same,2,featureless,False,0,38168,9542,0.026283003,0.013073368,1.4662668704986572
18O,same,2,linear,False,0,112893,28223,0.033018447,0.016845748,16405.44306230545
18O,same,2,linear,True,1,47710,28223,0.033357296,0.016939009,6653.282504796982
13C,same,2,linear,False,0,38168,9542,0.021375814,0.008958179,6493.816935300827
18O,same,2,tree,False,0,112893,28223,0.0341636939050857,0.0184673766224632,1994.4308609962463
18O,same,2,tree,True,1,47710,28223,0.0332412398725193,0.0167835106043165,809.5052366256714
18O,same,2,tree,True,2,47710,28223,0.0332916815070413,0.0167640685936485,797.0520958900452
18O,same,2,tree,True,3,47710,28223,0.0331795757529463,0.0166029713695024,817.4429824352264
13C,same,2,tree,False,0,38168,9542,0.0213475320630099,0.0091834842051244,751.7416157722473
18O,same,3,featureless,False,0,112893,28223,0.035259802,0.020864008,3.4719817638397217
18O,same,3,featureless,True,1,47710,28223,0.035260495,0.021018304,3.456027030944824
18O,same,3,featureless,True,2,47710,28223,0.035261434,0.02068391,3.4727113246917725
18O,same,3,featureless,True,3,47710,28223,0.035259806,0.020859301,3.451319456100464
13C,same,3,featureless,False,0,38168,9542,0.026887275,0.013002237,1.2777011394500732
13C,same,3,linear,False,0,38168,9542,0.021685198,0.008831961,5699.412014245987
18O,same,3,linear,False,0,112893,28223,0.033046816,0.017070368,16792.285483837128
18O,same,3,linear,True,1,47710,28223,0.03323357,0.017251167,7338.974353551865
18O,same,3,tree,False,0,112893,28223,0.0336651503900236,0.0178815092862795,1572.3847153186798
18O,same,3,tree,True,1,47710,28223,0.0332905806718399,0.017081965064725,632.2593357563019
18O,same,3,tree,True,2,47710,28223,0.0332379048469808,0.0168126940004252,751.8985695838928
18O,same,3,tree,True,3,47710,28223,0.0332457103511866,0.0168917377585753,707.7161474227905
13C,same,3,tree,False,0,38168,9542,0.0216911199865718,0.008862975041886,820.1762013435364
13C,same,4,featureless,False,0,38168,9542,0.026412092,0.013132365,1.1682953834533691
18O,same,4,featureless,False,0,112893,28223,0.03565788,0.020824632,4.504129648208618
18O,same,4,featureless,True,1,47710,28223,0.035656508,0.020905958,6.102562665939331
18O,same,4,featureless,True,2,47710,28223,0.035660986,0.020693228,6.102047443389893
18O,same,4,featureless,True,3,47710,28223,0.03565854,0.020798411,6.102482080459595
13C,same,4,linear,False,0,38168,9542,0.021820033,0.00902958,4436.510561466217
18O,same,4,linear,False,0,112893,28223,0.033249646,0.016949084,22689.46073794365
18O,same,4,tree,False,0,112893,28223,0.0338683676514289,0.0177422870431813,1568.8558688163755
18O,same,4,tree,True,1,47710,28223,0.0333961644314239,0.0168937655246776,611.270512342453
18O,same,4,tree,True,2,47710,28223,0.0334328584129038,0.0168234868081954,604.5168828964233
18O,same,4,tree,True,3,47710,28223,0.0333383672752991,0.0168758216757799,643.1507885456085
13C,same,4,tree,False,0,38168,9542,0.0218318577629287,0.0091068740561092,586.345422744751
13C,same,5,featureless,False,0,38168,9542,0.025739623,0.012889321,1.8990263938903809
18O,same,5,featureless,False,0,112893,28223,0.035198875,0.0209831,4.425621747970581
18O,same,5,featureless,True,1,47710,28223,0.035200138,0.021130212,5.926767826080322
18O,same,5,featureless,True,2,47710,28223,0.03519983,0.020780731,5.934759855270386
18O,same,5,featureless,True,3,47710,28223,0.035198808,0.020946514,5.922876834869385
18O,same,5,linear,False,0,112893,28223,0.032948803,0.017312394,17889.91487312317
18O,same,5,linear,True,1,47710,28223,0.03304906,0.017384142,7084.370105981827
13C,same,5,linear,False,0,38168,9542,0.020836681,0.008985544,5187.902231216431
13C,same,5,tree,False,0,38168,9542,0.0207256472773189,0.0088004719470668,619.3778643608093
18O,same,5,tree,False,0,112893,28223,0.0340224280588297,0.0187413089229649,1503.2000699043274
18O,same,5,tree,True,1,47710,28223,0.0331027159141023,0.0172834604938886,627.7903978824615
18O,same,5,tree,True,2,47710,28223,0.0331022647492815,0.0171219095521207,627.2204728126526
18O,same,5,tree,True,3,47710,28223,0.0332185575853361,0.0172116870713652,634.6569635868073
18O,other,1,featureless,False,0,47710,28224,0.039004415,0.012331751,1.9158155918121336
13C,other,1,featureless,False,0,141116,9542,0.03165371,0.027417142,3.0452215671539307
13C,other,1,featureless,True,1,38168,9542,0.03165103,0.027412605,2.301868438720703
13C,other,1,featureless,True,2,38168,9542,0.031730317,0.027554903,2.301151752471924
13C,other,1,featureless,True,3,38168,9542,0.031627987,0.027370397,2.289801597595215
18O,other,1,linear,False,0,47710,28224,0.04007097,0.013529411,8831.510885000229
18O,other,1,tree,False,0,47710,28224,0.0402805377978274,0.013357719683194,1037.478364944458
13C,other,1,tree,False,0,141116,9542,0.0316010564695072,0.0238121086855616,1920.439822435379
13C,other,1,tree,True,1,38168,9542,0.0325771007040563,0.0226230972774922,512.0649576187134
13C,other,1,tree,True,2,38168,9542,0.0320724460774572,0.0226916545275664,492.66242480278015
13C,other,1,tree,True,3,38168,9542,0.0324669334581213,0.0225729324148836,527.1472320556641
18O,other,2,featureless,False,0,47710,28223,0.039144248,0.012329936,1.9009792804718015
13C,other,2,featureless,False,0,141116,9542,0.031511866,0.027384542,5.63047194480896
13C,other,2,featureless,True,1,38168,9542,0.031509165,0.027379647,4.446831703186035
13C,other,2,featureless,True,2,38168,9542,0.031589184,0.02751365,4.44536280632019
13C,other,2,featureless,True,3,38168,9542,0.0314859,0.027348414,4.494540452957153
18O,other,2,linear,False,0,47710,28223,0.04031568,0.013338968,6504.166897773743
13C,other,2,linear,False,0,141116,9542,0.031286903,0.02306073,25237.667976379395
18O,other,2,tree,False,0,47710,28223,0.0406123931542663,0.0132520031234054,990.97913479805
13C,other,2,tree,False,0,141116,9542,0.0311117284215174,0.0239483147285383,2432.454314470291
13C,other,2,tree,True,1,38168,9542,0.0320279731637615,0.0226569188256987,631.876234292984
13C,other,2,tree,True,2,38168,9542,0.0317121938376587,0.0224962422540074,601.9245774745941
13C,other,2,tree,True,3,38168,9542,0.0321045977563801,0.0224175902024167,650.659380197525
13C,other,3,featureless,False,0,141116,9542,0.03190914,0.027549556,4.254462957382202
13C,other,3,featureless,True,1,38168,9542,0.031906504,0.02754948,4.250293016433716
13C,other,3,featureless,True,2,38168,9542,0.031984616,0.02766785,4.273930311203003
13C,other,3,featureless,True,3,38168,9542,0.031883802,0.027507272,4.246642827987671
18O,other,3,featureless,False,0,47710,28223,0.039235998,0.012402462,2.651320457458496
18O,other,3,linear,False,0,47710,28223,0.04035485,0.013426903,10162.280833005903
18O,other,3,tree,False,0,47710,28223,0.040517932850104,0.0133400070646241,1035.650215625763
13C,other,3,tree,False,0,141116,9542,0.0317453717241866,0.0235878871878113,2532.817187309265
13C,other,3,tree,True,1,38168,9542,0.0323509686844011,0.0224010361954592,659.0260398387909
13C,other,3,tree,True,2,38168,9542,0.0319792595497092,0.02218722584842,628.9028878211975
13C,other,3,tree,True,3,38168,9542,0.0319649692279698,0.0221831332752616,679.8489911556244
18O,other,4,featureless,False,0,47710,28223,0.039756667,0.012502614,2.6953389644622803
13C,other,4,featureless,False,0,141116,9542,0.031290606,0.027493684,4.284314632415772
13C,other,4,featureless,True,1,38168,9542,0.03128798,0.027493052,4.214711904525757
13C,other,4,featureless,True,2,38168,9542,0.0313658,0.027625082,4.21337366104126
13C,other,4,featureless,True,3,38168,9542,0.031265363,0.027452897,4.2139317989349365
18O,other,4,linear,False,0,47710,28223,0.04089045,0.013601726,7219.62334728241
13C,other,4,linear,False,0,141116,9542,0.031158429,0.022837719,24069.50009560585
13C,other,4,linear,True,1,38168,9542,0.031526886,0.022673707,4481.466799497604
18O,other,4,tree,False,0,47710,28223,0.0410218987876927,0.0135487772611276,1069.593232870102
13C,other,4,tree,False,0,141116,9542,0.0311893572279439,0.0237223995785834,2946.0713906288147
13C,other,4,tree,True,1,38168,9542,0.0322826552975032,0.0224532215512384,758.9927339553833
13C,other,4,tree,True,2,38168,9542,0.0314744779231048,0.0222761219750616,723.569497346878
13C,other,4,tree,True,3,38168,9542,0.0322597280486013,0.0223499635410748,784.5091867446899
18O,other,5,featureless,False,0,47710,28223,0.03915621,0.012530844,3.308043956756592
13C,other,5,featureless,False,0,141116,9542,0.031056063,0.027264476,4.482748746871948
13C,other,5,featureless,True,1,38168,9542,0.031053325,0.02725958,4.428835868835449
13C,other,5,featureless,True,2,38168,9542,0.03113448,0.027378714,4.422661781311035
13C,other,5,featureless,True,3,38168,9542,0.031029731,0.027220525,4.404294967651367
18O,other,5,linear,False,0,47710,28223,0.040425744,0.01348145,9211.701080799105
13C,other,5,linear,False,0,141116,9542,0.031063182,0.02306335,18795.08397626877
13C,other,5,linear,True,1,38168,9542,0.03143119,0.022851158,5793.2136516571045
18O,other,5,tree,False,0,47710,28223,0.0405049433835203,0.0132862725129887,784.4557294845581
13C,other,5,tree,False,0,141116,9542,0.0308517660194114,0.0238786818570911,1904.181459903717
13C,other,5,tree,True,1,38168,9542,0.0319587985551642,0.0227668991985196,508.2116813659668
13C,other,5,tree,True,2,38168,9542,0.0311606079378813,0.0226378047635968,485.9311997890472
13C,other,5,tree,True,3,38168,9542,0.0319064819657118,0.0225471886050898,525.4723625183105
18O,all,1,featureless,False,0,160602,28224,0.035391852,0.017656898,3.868052244186402
18O,all,1,featureless,True,1,112892,28224,0.035390917,0.017658507,5.92858099937439
18O,all,1,featureless,True,1,47710,28224,0.035385113,0.017683296,2.999779224395752
18O,all,1,featureless,True,2,112892,28224,0.03540255,0.01762228,5.9672441482543945
18O,all,1,featureless,True,2,47710,28224,0.035382826,0.017693503,2.9965031147003174
18O,all,1,featureless,True,3,112892,28224,0.035395116,0.017644241,5.957197189331055
18O,all,1,featureless,True,3,47710,28224,0.035399284,0.017629204,2.99761176109314
13C,all,1,featureless,False,0,179284,9542,0.029811922,0.024160702,4.195383310317993
13C,all,1,featureless,True,1,38168,9542,0.029852131,0.024224605,2.4827358722686768
13C,all,1,featureless,True,1,141116,9542,0.029789988,0.024114892,8.251028299331665
13C,all,1,featureless,True,2,38168,9542,0.029840844,0.024209503,2.46338963508606
13C,all,1,featureless,True,2,141116,9542,0.029790733,0.02411652,8.228142738342285
13C,all,1,featureless,True,3,38168,9542,0.029790375,0.024115738,2.461690187454224
13C,all,1,featureless,True,3,141116,9542,0.02982897,0.024191989,8.176847457885742
18O,all,1,tree,False,0,160602,28224,0.0343128929760787,0.0160007517681788,2307.8498549461365
18O,all,1,tree,True,1,112892,28224,0.0333539664132629,0.0151196297059743,1679.6465802192688
18O,all,1,tree,True,1,47710,28224,0.0335576420543901,0.0150914897544747,694.6293694972992
18O,all,1,tree,True,2,112892,28224,0.0333505725153483,0.0150518748167024,1641.6678631305697
18O,all,1,tree,True,2,47710,28224,0.0336100046110764,0.0151603769166845,684.1962654590607
18O,all,1,tree,True,3,112892,28224,0.0333325521742256,0.0150281481396434,1687.0738689899445
18O,all,1,tree,True,3,47710,28224,0.0336031763664418,0.0150757825262369,822.2955524921417
13C,all,1,tree,False,0,179284,9542,0.0282084924613248,0.0206158508212304,3889.6097478866577
13C,all,1,tree,True,1,38168,9542,0.0278212306753645,0.0189704682909147,806.9334995746613
13C,all,1,tree,True,1,141116,9542,0.0273259756054728,0.0188078601150313,3062.629387140274
13C,all,1,tree,True,2,38168,9542,0.0276705024182223,0.0186230179557297,802.9687838554382
13C,all,1,tree,True,2,141116,9542,0.027295367124077,0.0188115779163955,3069.4346902370453
13C,all,1,tree,True,3,38168,9542,0.0279602325009153,0.0188467321256371,790.6780226230621
13C,all,1,tree,True,3,141116,9542,0.0273467405707468,0.0187302185149931,3058.084271669388
13C,all,2,featureless,False,0,179284,9542,0.029653063,0.024023563,4.141607999801636
13C,all,2,featureless,True,1,38168,9542,0.029697258,0.024100248,2.494893312454224
13C,all,2,featureless,True,1,141116,9542,0.02963803,0.02400919,8.259767293930054
13C,all,2,featureless,True,2,38168,9542,0.029642973,0.024017869,2.4793829917907715
13C,all,2,featureless,True,2,141116,9542,0.029633926,0.024000313,8.232698917388916
13C,all,2,featureless,True,3,38168,9542,0.029627966,0.023987401,2.502744197845459
13C,all,2,featureless,True,3,141116,9542,0.02967855,0.02406286,8.211378812789917
18O,all,2,featureless,False,0,160603,28223,0.035617072,0.017724661,4.267496585845947
18O,all,2,featureless,True,1,112892,28223,0.035608005,0.017762922,6.573089361190796
18O,all,2,featureless,True,1,47710,28223,0.035606626,0.01777205,3.3197388648986816
18O,all,2,featureless,True,2,112892,28223,0.03562722,0.0176784,6.652236700057983
18O,all,2,featureless,True,2,47710,28223,0.0356047,0.01777824,3.2618072032928467
18O,all,2,featureless,True,3,112892,28223,0.035627592,0.017676525,6.619000673294067
18O,all,2,featureless,True,3,47710,28223,0.035636354,0.01763326,3.2558155059814453
18O,all,2,linear,False,0,160603,28223,0.033605386,0.014809784,26736.218953371048
18O,all,2,tree,False,0,160603,28223,0.0349422465643214,0.0164134216567024,2277.094698905945
18O,all,2,tree,True,1,112892,28223,0.033650361096492,0.0147617169562727,1621.78657579422
18O,all,2,tree,True,1,47710,28223,0.0338273449170405,0.0147806306246873,693.8656282424927
18O,all,2,tree,True,2,112892,28223,0.0336602277904942,0.014673703457406,1644.4344506263733
18O,all,2,tree,True,2,47710,28223,0.0338376669297521,0.0148922381400486,679.3970847129822
18O,all,2,tree,True,3,112892,28223,0.033621559683444,0.0146925923022397,1629.148023366928
18O,all,2,tree,True,3,47710,28223,0.0338974025117652,0.0148637367601622,671.9945375919342
13C,all,2,tree,False,0,179284,9542,0.0278842564020936,0.0207667341903712,3270.431074380874
13C,all,2,tree,True,1,38168,9542,0.0273552427186163,0.0191432491973041,668.8624224662781
13C,all,2,tree,True,1,141116,9542,0.0269723076549259,0.0189488012475601,2572.527402639389
13C,all,2,tree,True,2,38168,9542,0.0273156536900221,0.0186560023007969,665.8167479038239
13C,all,2,tree,True,2,141116,9542,0.0270099657555862,0.0189663871778066,2589.2680406570435
13C,all,2,tree,True,3,38168,9542,0.0273977403906801,0.0188337781777209,665.0466947555542
13C,all,2,tree,True,3,141116,9542,0.0269442189810098,0.0189250779095812,2634.9253726005554
18O,all,3,featureless,False,0,160603,28223,0.03562902,0.01771782,4.394557476043701
18O,all,3,featureless,True,1,112892,28223,0.035622954,0.017748604,6.799493074417114
18O,all,3,featureless,True,1,47710,28223,0.035612706,0.017797116,3.441572666168213
18O,all,3,featureless,True,2,112892,28223,0.035646662,0.01765618,6.817456007003784
18O,all,3,featureless,True,2,47710,28223,0.035627045,0.017725095,3.542130470275879
18O,all,3,featureless,True,3,112892,28223,0.035631124,0.01771029,6.805349111557007
18O,all,3,featureless,True,3,47710,28223,0.035639267,0.017690133,3.432902336120605
13C,all,3,featureless,False,0,179284,9542,0.030094601,0.024185387,3.904015064239502
13C,all,3,featureless,True,1,38168,9542,0.03011832,0.024238104,2.2784292697906494
13C,all,3,featureless,True,1,141116,9542,0.03006975,0.024131648,7.557377815246582
13C,all,3,featureless,True,2,38168,9542,0.030056002,0.02410305,2.2816061973571777
13C,all,3,featureless,True,2,141116,9542,0.030067937,0.024128795,7.555488348007202
13C,all,3,featureless,True,3,38168,9542,0.030043032,0.024075288,2.2694215774536133
13C,all,3,featureless,True,3,141116,9542,0.030114502,0.024229629,7.525157928466797
18O,all,3,tree,False,0,160603,28223,0.0344911043339286,0.0159606714374931,2933.841001272201
18O,all,3,tree,True,1,112892,28223,0.0336260502891666,0.0148606254582476,2061.940762281418
18O,all,3,tree,True,1,47710,28223,0.033835202718642,0.0148409458462145,886.260449886322
18O,all,3,tree,True,2,112892,28223,0.0336633005064793,0.0147819930957966,2101.8177144527435
18O,all,3,tree,True,2,47710,28223,0.0338608029462043,0.0149343539505767,847.1404006481171
18O,all,3,tree,True,3,112892,28223,0.0336346420761337,0.0148515944685689,2076.1082298755646
18O,all,3,tree,True,3,47710,28223,0.0338921474250724,0.0148120921994944,867.5923137664795
13C,all,3,tree,False,0,179284,9542,0.0282887514697159,0.020371212105319,3663.394703388214
13C,all,3,tree,True,1,38168,9542,0.0278781732367147,0.0187006218799423,751.4074099063873
13C,all,3,tree,True,1,141116,9542,0.0274107718807118,0.018662349960141,2890.883982181549
13C,all,3,tree,True,2,38168,9542,0.0279681092861161,0.0184882792412413,737.5042805671692
13C,all,3,tree,True,2,141116,9542,0.0273722789476978,0.0186719250880111,2867.507013320923
13C,all,3,tree,True,3,38168,9542,0.0277717505789275,0.0184969778513404,729.351788520813
13C,all,3,tree,True,3,141116,9542,0.027419790327974,0.0185470207280797,2858.7922699451447
18O,all,4,featureless,False,0,160603,28223,0.036085527,0.017748415,4.661219120025635
18O,all,4,featureless,True,1,112892,28223,0.036076963,0.01777045,6.691347599029541
18O,all,4,featureless,True,1,47710,28223,0.036064714,0.01781531,3.375962972640991
18O,all,4,featureless,True,2,112892,28223,0.036098044,0.017699901,6.919825553894043
18O,all,4,featureless,True,2,47710,28223,0.036098517,0.017697554,3.354973793029785
18O,all,4,featureless,True,3,112892,28223,0.036090977,0.0177235,6.853882312774658
18O,all,4,featureless,True,3,47710,28223,0.03612018,0.017623888,3.2394487857818604
13C,all,4,featureless,False,0,179284,9542,0.029477954,0.024161723,3.952516078948975
13C,all,4,featureless,True,1,38168,9542,0.029533714,0.024275247,2.2948367595672607
13C,all,4,featureless,True,1,141116,9542,0.029447334,0.024093919,7.583436250686645
13C,all,4,featureless,True,2,38168,9542,0.029449187,0.024098106,2.382741451263428
13C,all,4,featureless,True,2,141116,9542,0.029458867,0.024118718,7.5849223136901855
13C,all,4,featureless,True,3,38168,9542,0.02944363,0.024085544,2.297530174255371
13C,all,4,featureless,True,3,141116,9542,0.029492697,0.02419365,7.610739231109619
18O,all,4,tree,False,0,160603,28223,0.0349984668585314,0.0159378635639184,2888.6051943302155
18O,all,4,tree,True,1,112892,28223,0.0339723085322453,0.0149346966023552,2064.9284522533417
18O,all,4,tree,True,1,47710,28223,0.034172916838915,0.0148455494393904,871.7021234035492
18O,all,4,tree,True,2,112892,28223,0.0340152831039616,0.01483402291462,2067.810069322586
18O,all,4,tree,True,2,47710,28223,0.0342355301620538,0.0149949354393332,861.824768781662
18O,all,4,tree,True,3,112892,28223,0.0339723908880522,0.0148575012124358,2040.2558476924896
18O,all,4,tree,True,3,47710,28223,0.0341859941669996,0.0149189307897978,876.127564907074
13C,all,4,tree,False,0,179284,9542,0.0278266563938987,0.0205977474081379,2518.469348669052
13C,all,4,tree,True,1,38168,9542,0.0275725338612062,0.0188547516468348,516.6581861972809
13C,all,4,tree,True,1,141116,9542,0.0269680503899375,0.0188414349006384,2016.6746225357056
13C,all,4,tree,True,2,38168,9542,0.0278456346638645,0.0189626979977164,523.7307214736938
13C,all,4,tree,True,2,141116,9542,0.0269758011326286,0.0189340206050952,2016.5104353427887
13C,all,4,tree,True,3,38168,9542,0.0273575455916758,0.0188443179701849,549.0283665657043
13C,all,4,tree,True,3,141116,9542,0.0270734671796219,0.0189069311960981,2002.8885595798488
18O,all,5,featureless,False,0,160603,28223,0.03555909,0.017953869,4.359652519226074
18O,all,5,featureless,True,1,112892,28223,0.035556145,0.01796721,6.7381696701049805
18O,all,5,featureless,True,1,47710,28223,0.03555166,0.017989557,3.407912015914917
18O,all,5,featureless,True,2,112892,28223,0.035574604,0.017895129,6.854117631912232
18O,all,5,featureless,True,2,47710,28223,0.03556266,0.017937418,3.4145596027374268
18O,all,5,featureless,True,3,112892,28223,0.035563834,0.01793268,6.770719766616821
18O,all,5,featureless,True,3,47710,28223,0.035573103,0.017901786,3.4185574054718018
13C,all,5,featureless,False,0,179284,9542,0.029168963,0.023971945,6.950065612792969
13C,all,5,featureless,True,1,38168,9542,0.02921683,0.024057934,4.219576835632324
13C,all,5,featureless,True,1,141116,9542,0.029142326,0.023921149,14.2637836933136
13C,all,5,featureless,True,2,38168,9542,0.029149417,0.023933582,4.217281818389893
13C,all,5,featureless,True,2,141116,9542,0.029154534,0.023944486,14.260416507720947
13C,all,5,featureless,True,3,38168,9542,0.029150069,0.023934972,4.218903064727783
13C,all,5,featureless,True,3,141116,9542,0.029190538,0.02401058,14.260329246520996
18O,all,5,linear,False,0,160603,28223,0.03355476,0.015249812,27883.282752275467
18O,all,5,tree,False,0,160603,28223,0.0342191544113325,0.0159429706825344,2289.419970273972
18O,all,5,tree,True,1,112892,28223,0.0335954980997174,0.0151989595643143,1628.6989324092865
18O,all,5,tree,True,1,47710,28223,0.0338239508531587,0.0152321999695441,673.7106642723083
18O,all,5,tree,True,2,112892,28223,0.0336179222082301,0.015073418428341,1585.4659826755524
18O,all,5,tree,True,2,47710,28223,0.0338785098415786,0.015274732679245,688.8541243076324
18O,all,5,tree,True,3,112892,28223,0.0336114183855398,0.0152069009256726,1664.9139909744265
18O,all,5,tree,True,3,47710,28223,0.0339013739483709,0.0150820430028528,686.1683301925659
13C,all,5,tree,False,0,179284,9542,0.0274841994920433,0.0206478818010495,2544.351896047592
13C,all,5,tree,True,1,38168,9542,0.0269001954310578,0.0190268926173176,541.9075443744659
13C,all,5,tree,True,1,141116,9542,0.026571558038456,0.0187759317579868,2058.341057777405
13C,all,5,tree,True,2,38168,9542,0.026940969220541,0.018443746177741,527.0460917949677
13C,all,5,tree,True,2,141116,9542,0.0264785894806953,0.0187665037587806,2086.661048412323
13C,all,5,tree,True,3,38168,9542,0.0268627599642694,0.0188046414828838,540.5122003555298
13C,all,5,tree,True,3,141116,9542,0.0264664584780073,0.0188374949627856,2044.78311753273
